id,value
area,
area.2001,
area.2002,
area.2003,
area.2004,
area.2005,
area.2006,
area.2007,
area.2008,
area.2009,
area.2010,
area.2011,
area.2012,
area.2013,
area.2014,
area.2015,
area.2016,
area.2014.CAUCA,23
area.2003.BOGOTA,565
area.2009.CAQUETA,104
area.2007.PUTUMAYO,34
area.2004.CAUCA,39
area.2006.CUNDINAMARCA,440
area.2009.ANTIOQUIA,239
area.2010.BOYACA,14
area.2014.BOGOTA,81
area.2005.CESAR,184
area.2015.HUILA,9
area.2011.CUNDINAMARCA,44
area.2015.LA GUAJIRA,0
area.2013.CORDOBA,13
area.2014.SUCRE,7
area.2012.META,123
area.2008.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2014.ARAUCA,5
area.2015.NORTE DE SANTANDER,1
area.2013.BOLIVAR,6
area.2014.QUINDIO,22
area.2009.GUAINIA,8
area.2003.TOLIMA,46
area.2012.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2005.CORDOBA,1639
area.2004.QUINDIO,35
area.2004.ANTIOQUIA,864
area.2008.BOLIVAR,74
area.2007.RISARALDA,68
area.2014.BOYACA,4
area.2009.NORTE DE SANTANDER,34
area.2010.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2015.SANTANDER,16
area.2011.NARINO,15
area.2013.HUILA,49
area.2011.AMAZONAS,1
area.2008.AMAZONAS,3
area.2008.TOLIMA,119
area.2012.LA GUAJIRA,2
area.2008.Por establecer,389
area.2010.ANTIOQUIA,198
area.2006.BOLIVAR,563
area.2006.PUTUMAYO,119
area.2014.VALLE DEL CAUCA,65
area.2012.BOGOTA,103
area.2015.ANTIOQUIA,11
area.2008.META,368
area.2010.TOLIMA,85
area.2015.GUAVIARE,0
area.2005.BOYACA,81
area.2011.BOLIVAR,5
area.2011.GUAINIA,3
area.2014.AMAZONAS,1
area.2008.QUINDIO,27
area.2010.GUAINIA,5
area.2010.CAUCA,48
area.2003.GUAVIARE,2
area.2009.HUILA,149
area.2011.ANTIOQUIA,107
area.2007.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2005.CALDAS,141
area.2004.LA GUAJIRA,12
area.2008.VAUPES,1
area.2015.CESAR,4
area.2009.Por establecer,545
area.2013.BOGOTA,98
area.2006.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1
area.2010.VAUPES,8
area.2005.SANTANDER,354
area.2015.VICHADA,0
area.2006.ANTIOQUIA,4259
area.2007.CORDOBA,6
area.2004.NARINO,12
area.2005.LA GUAJIRA,29
area.2006.SANTANDER,1279
area.2003.QUINDIO,20
area.2006.META,887
area.2003.BOLIVAR,19
area.2010.NORTE DE SANTANDER,46
area.2004.VICHADA,4
area.2005.Por establecer,1092
area.2013.BOYACA,2
area.2013.QUINDIO,17
area.2004.ATLANTICO,67
area.2013.VICHADA,1
area.2006.LA GUAJIRA,297
area.2003.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2012.RISARALDA,9
area.2003.GUAINIA,1
area.2006.CALDAS,254
area.2012.CESAR,19
area.2013.CHOCO,9
area.2013.MAGDALENA,11
area.2013.VAUPES,2
area.2007.CESAR,51
area.2009.BOGOTA,373
area.2003.RISARALDA,26
area.2007.Por establecer,371
area.2007.NORTE DE SANTANDER,38
area.2007.BOGOTA,504
area.2003.VICHADA,2
area.2003.MAGDALENA,11
area.2007.VICHADA,7
area.2015.ARAUCA,1
area.2006.GUAINIA,4
area.2011.CORDOBA,11
area.2007.ANTIOQUIA,281
area.2013.META,113
area.2003.CAUCA,23
area.2010.QUINDIO,24
area.2013.VALLE DEL CAUCA,129
area.2014.PUTUMAYO,6
area.2004.NORTE DE SANTANDER,476
area.2004.CHOCO,32
area.2012.SANTANDER,35
area.2015.NARINO,5
area.2014.SANTANDER,38
area.2011.META,183
area.2003.ATLANTICO,22
area.2004.CESAR,105
area.2004.ARAUCA,15
area.2007.TOLIMA,128
